Date/Time, Temperature A, Temperature B, Damper 
02/25/2018 08:00:14, 25.16788, 26.67911, 10
02/25/2018 09:00:22, 25.16232, 26.70689, 10
02/25/2018 10:00:23, 25.22067, 26.73745, 10
02/25/2018 11:00:24, 25.29011, 26.81801, 10
02/25/2018 12:00:31, 25.27622, 26.87357, 10
02/25/2018 13:00:37, 25.31511, 26.90691, 10
02/25/2018 14:00:45, 25.37067, 26.94024, 10
02/25/2018 15:00:51, 25.34011, 26.99303, 10
02/25/2018 16:01:01, 25.44568, 27.01803, 10
02/25/2018 17:01:06, 25.41512, 27.07914, 10
02/25/2018 18:01:09, 25.42902, 27.12637, 10
02/25/2018 19:01:14, 25.47346, 27.1347, 10
02/25/2018 20:01:22, 25.52346, 27.18193, 10
02/25/2018 21:01:29, 25.52624, 27.19304, 10
02/25/2018 22:01:29, 25.51513, 27.24305, 10
02/25/2018 23:01:36, 25.5568, 27.27639, 10
02/26/2018 00:01:43, 25.55124, 27.32083, 10
02/26/2018 01:01:52, 25.59014, 27.36806, 10
02/26/2018 02:02:00, 25.61236, 27.39305, 10
02/26/2018 03:02:07, 25.67904, 27.4514, 10
02/26/2018 04:02:16, 25.62625, 27.47084, 10
02/26/2018 05:02:16, 25.63736, 27.49584, 10
02/26/2018 06:02:24, 25.68737, 27.52362, 10
02/26/2018 07:02:33, 25.69293, 27.64308, 10
02/26/2018 08:02:42, 25.70681, 27.61252, 10
02/26/2018 09:02:41, 25.72625, 27.62363, 10
02/26/2018 10:02:47, 25.84571, 27.71809, 10
02/26/2018 11:02:56, 25.88461, 27.75698, 10
02/26/2018 12:03:04, 25.9485, 27.82365, 10
02/26/2018 13:03:07, 25.93739, 27.87921, 10
02/26/2018 14:03:13, 25.97906, 27.89588, 10
02/26/2018 15:03:16, 25.98461, 27.95977, 10
02/26/2018 16:03:23, 26.04017, 28.02088, 10
02/26/2018 17:03:30, 26.06795, 28.02922, 10
02/26/2018 18:03:37, 26.03184, 28.13479, 10
02/26/2018 19:03:40, 26.03461, 28.02922, 10
02/26/2018 20:03:47, 26.05962, 28.14312, 10
02/26/2018 21:03:56, 26.11518, 28.16812, 10
02/26/2018 22:03:58, 26.12351, 28.23757, 10
02/26/2018 23:04:05, 26.16518, 28.28757, 10
